video,frame,track_id,x1,y1,x2,y2,iou,label
N26.mp4,1,-1,87.5136,259.80682,130.58711,408.51593,0.023197491586554597,ON_GROUND
N26.mp4,2,34,87.99737,260.19794,131.03677,408.78986,0.023271622275141547,ON_GROUND
N26.mp4,3,34,88.14289,260.1395,131.19931,408.65613,0.023175907662459052,ON_GROUND
N26.mp4,4,34,91.588,259.97244,134.55066,408.30124,0.0223720376934011,ON_GROUND
N26.mp4,5,34,93.86387,259.67596,136.885,408.64993,0.022231004512974814,ON_GROUND
N26.mp4,6,34,94.63871,259.5466,137.66133,408.28287,0.021889873394801817,ON_GROUND
N26.mp4,7,34,96.97768,259.45145,140.29979,408.09436,0.021517465293291023,ON_GROUND
N26.mp4,8,34,99.544876,259.0106,142.97137,407.4489,0.020754565331666162,ON_GROUND
N26.mp4,9,34,105.43666,258.71326,147.90172,403.2253,0.01702124826835319,ON_GROUND
N26.mp4,10,34,108.49024,258.3066,151.98064,405.1575,0.017968642162309936,ON_GROUND
N26.mp4,11,34,110.05969,258.0474,154.2268,405.84604,0.01832706177314626,ON_GROUND
N26.mp4,12,34,111.651474,258.28528,156.15613,405.05908,0.017694805752425505,ON_GROUND
N26.mp4,13,34,111.428604,258.78732,156.80579,406.1434,0.018653430879040825,ON_GROUND
N26.mp4,14,34,112.94847,258.721,159.11917,406.39282,0.018784294168443967,ON_GROUND
N26.mp4,15,34,112.99028,258.65552,159.94043,406.64072,0.01915957608132407,ON_GROUND
N26.mp4,16,34,113.86746,259.38516,162.00662,407.67624,0.02002876023780473,ON_GROUND
N26.mp4,17,34,115.46462,260.45956,164.87016,408.22693,0.020490306943695854,ON_GROUND
N26.mp4,18,34,116.996445,261.10898,167.75378,408.81015,0.021001906071509827,ON_GROUND
N26.mp4,19,34,117.58519,262.60303,169.3855,409.8279,0.021917591064321923,ON_GROUND
N26.mp4,20,34,117.65329,262.2493,170.3522,410.36267,0.022538978714031623,ON_GROUND
N26.mp4,21,34,118.53996,261.78455,171.96002,410.95755,0.02299544808108191,ON_GROUND
N26.mp4,22,34,120.106476,261.8588,173.80104,410.6295,0.02253431830832944,ON_GROUND
N26.mp4,23,34,122.514175,262.0576,176.73723,411.87878,0.023115792825601944,ON_GROUND
N26.mp4,24,34,125.72239,262.2272,179.79007,412.5418,0.022917948381553102,ON_GROUND
N26.mp4,25,34,129.9489,261.77545,183.83858,411.20938,0.02106891769985049,ON_GROUND
N26.mp4,26,34,133.66873,261.48816,187.71121,410.71246,0.020013981677638234,ON_GROUND
N26.mp4,27,34,137.38425,260.54727,191.91357,411.068,0.01963869552064629,ON_GROUND
N26.mp4,28,34,139.67468,259.61148,194.43425,410.778,0.019012607169142406,ON_GROUND
N26.mp4,29,34,140.8802,259.5171,195.84598,411.204,0.019126792302122234,ON_GROUND
N26.mp4,30,34,143.86911,259.72592,199.83502,412.15765,0.019446851779143428,ON_GROUND
N26.mp4,31,34,149.10886,260.3825,205.42194,412.0818,0.018409291780129112,ON_GROUND
N26.mp4,32,34,150.81908,260.6114,207.57272,411.9961,0.018083975785051064,ON_GROUND
N26.mp4,33,34,151.95534,260.9369,209.9163,413.92416,0.019546906187922847,ON_GROUND
N26.mp4,34,34,153.56088,261.53107,212.82864,416.36823,0.0213780118558106,ON_GROUND
N26.mp4,35,34,156.62395,262.8349,217.35333,420.14948,0.024061709472253362,ON_GROUND
N26.mp4,36,34,159.0997,263.44702,220.89383,422.8202,0.02594681927973582,ON_GROUND
N26.mp4,37,34,160.98099,263.5279,223.29584,424.07602,0.02668895545233023,ON_GROUND
N26.mp4,38,34,163.00804,264.2404,224.87222,424.0934,0.026144344750706414,ON_GROUND
