video,frame,track_id,label,bbox_overlap_frac,inter_area,bbox_area,x1,y1,x2,y2,centroid_x,centroid_y
WhatsApp Video 2025-10-07 at 16.37.28.mp4,1,1,ON_GROUND,1.0,1627.7293850695714,1627.7293850695714,141.07416,146.88477,168.97331,205.22809,155.0,176.0
WhatsApp Video 2025-10-07 at 16.37.28.mp4,1,3,ON_GROUND,1.0,786.1405700729229,786.1405700729229,122.24597,181.5669,145.42166,215.48781,133.0,198.0
WhatsApp Video 2025-10-07 at 16.37.28.mp4,1,4,ON_GROUND,1.0,1013.5376372493338,1013.5376372493338,79.29117,199.12689,106.79158,235.98225,93.0,217.0
WhatsApp Video 2025-10-07 at 16.37.28.mp4,1,5,ON_GROUND,1.0,884.9078016921412,884.9078016921412,105.24617,189.0498,130.21027,224.49702,117.0,206.0
WhatsApp Video 2025-10-07 at 16.37.28.mp4,1,7,ON_GROUND,1.0,534.670596085838,534.670596085838,57.921364,137.66635,71.63014,176.66841,64.0,157.0
WhatsApp Video 2025-10-07 at 16.37.28.mp4,2,1,ON_GROUND,1.0,1627.6823993390426,1627.6823993390426,141.07437,146.8857,168.97313,205.22816,155.0,176.0
WhatsApp Video 2025-10-07 at 16.37.28.mp4,2,3,ON_GROUND,1.0,786.1438910174184,786.1438910174184,122.24588,181.56685,145.42162,215.48784,133.0,198.0
WhatsApp Video 2025-10-07 at 16.37.28.mp4,2,4,ON_GROUND,1.0,1013.539320048294,1013.539320048294,79.291466,199.12689,106.7919,235.98228,93.0,217.0
WhatsApp Video 2025-10-07 at 16.37.28.mp4,2,5,ON_GROUND,1.0,884.9096453001257,884.9096453001257,105.24602,189.04971,130.21014,224.49696,117.0,206.0
WhatsApp Video 2025-10-07 at 16.37.28.mp4,2,7,ON_GROUND,1.0,534.6724742722581,534.6724742722581,57.921276,137.66628,71.63008,176.6684,64.0,157.0
WhatsApp Video 2025-10-07 at 16.37.28.mp4,3,1,ON_GROUND,1.0,1627.6188884228468,1627.6188884228468,141.07454,146.88605,168.97276,205.22736,155.0,176.0
WhatsApp Video 2025-10-07 at 16.37.28.mp4,3,3,ON_GROUND,1.0,786.1355066900142,786.1355066900142,122.24629,181.56635,145.4219,215.48715,133.0,198.0
WhatsApp Video 2025-10-07 at 16.37.28.mp4,3,4,ON_GROUND,1.0,1013.5990581631195,1013.5990581631195,79.29125,199.12666,106.79249,235.98315,93.0,217.0
